Layer,Area_cm2,Height_mm
1,18.383440176830355,0.0
2,18.37911253413832,0.17099949999999992
3,18.38127635548434,0.34199899999999983
4,18.386925683647185,0.5129984999999998
5,18.384644898985165,0.6839979999999997
6,18.38231732899675,0.8549974999999996
7,18.38278518226075,1.0259969999999996
8,18.379790921371125,1.1969964999999994
9,18.385674176165978,1.3679959999999993
10,18.391569127292428,1.5389954999999993
11,18.382176973017547,1.7099949999999993
12,18.391253326339225,1.8809944999999992
13,18.39045797579042,2.051993999999999
14,18.38390803009436,2.222993499999999
15,18.378644680874316,2.3939929999999987
16,18.373545080296672,2.564992499999999
17,18.36651558500501,2.7359919999999986
18,18.369100474288633,2.906991499999999
19,18.370667782723046,3.0779909999999986
20,18.369041992630635,3.2489904999999983
21,18.360749293526165,3.4199899999999985
22,18.364761135264995,3.5909894999999983
23,18.36111187980577,3.7619889999999985
24,18.357977262936938,3.932988499999998
25,18.35584853058572,4.103987999999998
26,18.35204722281569,4.274987499999998
27,18.35119339060888,4.445986999999998
28,18.35571987093812,4.616986499999998
29,18.357731639973338,4.787985999999997
30,18.35016411342807,4.958985499999998
31,18.351766510857285,5.129984999999998
32,18.332935416981126,5.3009844999999975
33,18.2951328732496,5.471983999999997
34,18.214931127467715,5.642983499999997
35,17.94285106178619,5.813982999999998
36,17.499852502432404,5.984982499999997
37,16.969926806626674,6.155981999999997
38,16.073402989479007,6.326981499999997
39,15.137930388103012,6.497980999999997
40,14.12695796624837,6.668980499999997
41,13.118441774029746,6.839979999999997
42,12.045104512083372,7.010979499999997
43,11.14090790140604,7.181978999999997
44,10.416343551443049,7.352978499999996
45,9.771255774702734,7.523977999999997
46,9.185012242242522,7.694977499999997
47,8.647600894212728,7.865976999999996
48,8.148436550515259,8.036976499999996
49,7.686010384373707,8.207975999999997
50,7.25718777891924,8.378975499999996
51,6.851839710986176,8.549974999999996
52,6.468562620782499,8.720974499999995
53,6.104689744703388,8.891973999999996
54,5.757367177838419,9.062973499999996
55,5.434805744970861,9.233972999999995
56,5.125274025505815,9.404972499999996
57,4.8266081980972615,9.575971999999995
58,4.54449267990285,9.746971499999995
59,4.272927252811729,9.917970999999996
60,4.01568983193073,10.088970499999995
61,3.7666047541750003,10.259969999999996
62,3.5268884380309506,10.430969499999994
63,3.2949735750641684,10.601968999999995
64,3.065117266459003,10.772968499999996
65,2.8452145360455234,10.943967999999995
66,2.624855648699639,11.114967499999995
67,2.393736136281664,11.285966999999994
68,2.1504407426679837,11.456966499999995
69,1.9473690334270477,11.627965999999995
70,1.8106857023482792,11.798965499999994
71,1.7159688090506695,11.969964999999995
72,1.6467499186412777,12.140964499999994
73,1.5844552565391452,12.311963999999994
74,1.5228857669962188,12.482963499999995
75,1.4633046538253096,12.653962999999994
76,1.4089401045480447,12.824962499999994
77,1.3541427910015764,12.995961999999993
78,1.3034041045203426,13.166961499999994
79,1.2549695953643285,13.337960999999995
80,1.209880237045943,13.508960499999993
81,1.169539589357198,13.679959999999994
82,1.1289884076996515,13.850959499999993
83,1.0897004298549158,14.021958999999994
84,1.053137697273003,14.192958499999994
85,1.01884405302151,14.363957999999993
86,0.9851118326868215,14.534957499999994
87,0.9552160091169659,14.705956999999993
88,0.9241973377135008,14.876956499999993
89,0.8945588334388475,15.047955999999994
90,0.8686514589446259,15.218955499999993
91,0.8453406700656266,15.389954999999993
92,0.8233515666574387,15.560954499999992
93,0.8029999496732647,15.731953999999993
94,0.7796306791362649,15.902953499999994
95,0.7571854187956731,16.073952999999992
96,0.7386233405463144,16.244952499999993
97,0.7256521088018035,16.415951999999994
98,0.7097100088308672,16.58695149999999
99,0.697768054267165,16.75795099999999
100,0.6866097539206697,16.928950499999992
101,0.6776269712517928,17.099949999999993
